iter	TotalF1	MultiClass
552	0.967939058	0.1589203449
553	0.967487773	0.1585458023
554	0.967487773	0.1584200813
555	0.9677134606	0.1580618701
556	0.9681645654	0.1578920904
557	0.968389983	0.1575595853
558	0.9688405494	0.1574273276
559	0.9690656986	0.1571631412
560	0.9695157298	0.1567806392
561	0.9697406122	0.156457417
562	0.9697406122	0.1562069188
563	0.9697406122	0.1560138741
564	0.9699654061	0.1556167398
565	0.9701901116	0.1552737015
566	0.9697406122	0.1550548657
567	0.9697406122	0.1548523781
568	0.9695157298	0.1543719678
569	0.9704147289	0.1541048909
570	0.9708636997	0.1538967152
571	0.9713123199	0.153771126
572	0.9713123199	0.1535468029
573	0.9710880535	0.1531895125
574	0.9713123199	0.1530959747
575	0.9710880535	0.1528586189
576	0.971536499	0.1523183887
577	0.9717605909	0.152039798
578	0.9719845959	0.151899549
579	0.9719845959	0.151557531
580	0.9719845959	0.1514995779
581	0.9717605909	0.1514295383
582	0.9719845959	0.1512863479
583	0.9719845959	0.1511827135
584	0.9719845959	0.1508438774
585	0.9719845959	0.1506130761
586	0.9719845959	0.1503717017
587	0.9719845959	0.1502990067
588	0.9719845959	0.1501206919
589	0.9719845959	0.1498641173
590	0.9719845959	0.1497682476
591	0.9719845959	0.1496227791
592	0.9719845959	0.14945569
593	0.9719845959	0.1491604242
594	0.9719845959	0.1490141403
595	0.9719845959	0.1488626804
596	0.9724323459	0.1486786765
597	0.9726560912	0.1486098802
598	0.9724323459	0.1483895575
599	0.9728797503	0.1481906908
600	0.9728797503	0.1478157682
601	0.9728797503	0.1475016772
602	0.9728797503	0.147266312
603	0.9728797503	0.1470860146
604	0.9728797503	0.1469947358
605	0.9735502119	0.1468746716
606	0.9731033233	0.1467034121
607	0.9733268104	0.1465474454
608	0.9733268104	0.1464117871
609	0.9731033233	0.1461876684
610	0.9731033233	0.1460835037
611	0.9733268104	0.1457959277
612	0.9735502119	0.1456231435
613	0.9737735279	0.1452476883
614	0.9737640758	0.1448716359
615	0.9744337878	0.1447419182
616	0.9746568547	0.1444166383
617	0.9746568547	0.1441453718
618	0.9750938055	0.143893569
619	0.9750938055	0.1434613047
620	0.9750938055	0.1432083915
621	0.9751027342	0.1429547854
622	0.9748798368	0.1426371225
623	0.9751027342	0.1424376192
624	0.9751027342	0.1423043888
625	0.9751027342	0.1420495123
